2021-11-16 17:00:32 INFO  .:155 - E:\CurrentWorkSpace\TestAutomation\Automation
2021-11-16 17:00:42 INFO  .:164 - customer deleted successfully
2021-11-16 17:00:42 INFO  .:176 - E:\CurrentWorkSpace\TestAutomation\Automation
2021-11-16 17:00:45 INFO  .:179 - admin logged out successfully
2021-11-16 17:00:45 INFO  .:192 - E:\CurrentWorkSpace\TestAutomation\Automation
2021-11-16 17:00:45 INFO  .:194 - the browser has closed successfully
2021-11-16 17:00:45 INFO  .:23 - E:\CurrentWorkSpace\TestAutomation\Automation
2021-11-16 17:00:46 INFO  .:28 - the browser has launched successfully
2021-11-16 17:00:46 INFO  .:40 - E:\CurrentWorkSpace\TestAutomation\Automation
2021-11-16 17:00:48 INFO  .:43 - navigated successfully
2021-11-16 17:00:48 INFO  .:55 - E:\CurrentWorkSpace\TestAutomation\Automation
2021-11-16 17:00:54 INFO  .:60 - admin logged in successfully
2021-11-16 17:00:54 INFO  .:72 - E:\CurrentWorkSpace\TestAutomation\Automation
2021-11-16 17:00:56 INFO  .:75 - minimized successfully
2021-11-16 17:00:56 INFO  .:87 - E:\CurrentWorkSpace\TestAutomation\Automation
2021-11-16 17:01:09 INFO  .:98 - customer created successfully
2021-11-16 17:01:09 INFO  .:110 - E:\CurrentWorkSpace\TestAutomation\Automation
2021-11-16 17:01:20 INFO  .:121 - project created successfully
2021-11-16 17:01:20 INFO  .:133 - E:\CurrentWorkSpace\TestAutomation\Automation
2021-11-16 17:01:33 INFO  .:144 - project modified successfully
2021-11-16 17:01:33 INFO  .:156 - E:\CurrentWorkSpace\TestAutomation\Automation
2021-11-16 17:01:39 INFO  .:163 - project deleted successfully
2021-11-16 17:01:39 INFO  .:175 - E:\CurrentWorkSpace\TestAutomation\Automation
2021-11-16 17:01:50 INFO  .:184 - customer deleted  successfully
2021-11-16 17:01:50 INFO  .:196 - E:\CurrentWorkSpace\TestAutomation\Automation
2021-11-16 17:01:52 INFO  .:199 - admin logged out successfully
2021-11-16 17:01:52 INFO  .:212 - E:\CurrentWorkSpace\TestAutomation\Automation
2021-11-16 17:01:53 INFO  .:214 - the browser has closed successfully
2021-11-16 17:01:53 INFO  .:23 - E:\CurrentWorkSpace\TestAutomation\Automation
